DATE,GACDFSA066MSFRBPHI,3m growth rate,12m growth rate
1968-05-01,32.2,,
1968-06-01,18.4,,
1968-07-01,33.3,,
1968-08-01,-3.9,-99.97848036299592,
1968-09-01,9.5,-92.89403393564896,
1968-10-01,6.8,-99.82611636245628,
1968-11-01,13.2,13023.125940968454,
1968-12-01,23.5,3644.3550924256265,
1969-01-01,-11.3,662.567203345566,
1969-02-01,16.8,162.38644901304573,
1969-03-01,27.8,95.84285631786172,
1969-04-01,18.1,558.2646382114704,
1969-05-01,12.7,-67.34288941123265,-60.55900621118013
1969-06-01,18.5,-80.38863918879348,0.5434782608695787
1969-07-01,-1.1,-99.99863586786064,-103.30330330330331
1969-08-01,8.0,-84.25491301971506,-305.12820512820514
1969-09-01,-1.6,-99.99440509113144,-116.8421052631579
1969-10-01,12.1,1463999.999999999,77.94117647058823
1969-11-01,-3.4,-96.7374609375,-125.75757575757575
1969-12-01,-7.9,59333.106994628906,-133.61702127659575
1970-01-01,-13.1,37.38638661768343,15.92920353982299
1970-02-01,-18.1,80215.3638755523,-207.73809523809524
1970-03-01,-31.2,24228.201874599432,-212.23021582733816
1970-04-01,-16.9,176.988434574147,-193.37016574585633
1970-05-01,-21.5,99.08545873796515,-269.29133858267716
1970-06-01,-8.4,-99.47458947515844,-145.40540540540542
1970-07-01,7.0,-97.05662672964354,-736.3636363636364
1970-08-01,6.9,-98.93917798666844,-13.749999999999996
1970-09-01,14.0,671.6049382716046,-975.0
1970-10-01,3.7,-92.1942482299042,-69.42148760330578
1970-11-01,6.4,-25.98435416654809,-288.2352941176471
1970-12-01,10.2,-71.82340274885465,-229.11392405063287
1971-01-01,28.9,372106.9470552421,-320.6106870229008
1971-02-01,39.0,137791.82901382446,-315.4696132596685
1971-03-01,33.3,11259.94547778403,-206.73076923076925
1971-04-01,37.4,180.47556901857024,-321.301775147929
1971-05-01,39.2,2.0671151587613457,-282.3255813953488
1971-06-01,31.3,-21.9450560576525,-472.61904761904765
1971-07-01,25.5,-78.38902738883955,264.2857142857143
1971-08-01,22.8,-88.55554489218275,230.43478260869566
1971-09-01,35.9,73.06149223393574,156.42857142857142
1971-10-01,39.3,464.1693389686424,962.1621621621621
1971-11-01,32.1,292.8988354956224,401.5625
1971-12-01,30.4,-48.58183896114197,198.03921568627453
1972-01-01,34.2,-42.649894293180445,18.339100346020775
1972-02-01,30.9,-14.135471773369268,-20.769230769230774
1972-03-01,39.5,185.0322808422516,18.61861861861862
1972-04-01,28.2,-53.77339392067131,-24.59893048128342
1972-05-01,35.8,80.17651765454296,-8.673469387755118
1972-06-01,34.1,-44.45702555124339,8.94568690095847
1972-07-01,33.1,89.8084496224949,29.803921568627455
1972-08-01,35.2,-6.537251721058324,54.38596491228071
1972-09-01,32.9,-13.350497044299292,-8.356545961002782
1972-10-01,39.2,96.71265180598796,-0.254452926208637
1972-11-01,47.2,223.2937736920292,47.04049844236759
1972-12-01,49.1,396.0693294652463,61.51315789473686
1973-01-01,47.8,121.08909316915266,39.76608187134501
1973-02-01,40.5,-45.79340868269182,31.06796116504855
1973-03-01,58.5,101.51041426277992,48.1012658227848
1973-04-01,53.6,58.10571638117716,90.07092198581562
1973-05-01,36.6,-33.30331502462172,2.2346368715083997
1973-06-01,30.4,-92.70759348979172,-10.850439882697959
1973-07-01,24.8,-95.4170241943364,-25.075528700906347
1973-08-01,18.5,-93.47226414995282,-47.44318181818182
1973-09-01,-0.3,-99.99999905160188,-100.91185410334347
1973-10-01,9.8,-97.56164138051544,-75.0
1973-11-01,15.4,-51.98289530088396,-67.37288135593221
1973-12-01,8.0,50567801.23456791,-83.70672097759673
1974-01-01,-12.9,200.2303125901484,-126.98744769874477
1974-02-01,-13.2,-46.02249062890464,-132.5925925925926
1974-03-01,-12.5,496.0464477539063,-121.36752136752136
1974-04-01,-11.9,-27.58492173855436,-122.20149253731343
1974-05-01,-9.2,-76.40306563422017,-125.1366120218579
1974-06-01,-8.7,-76.53411389440001,-128.61842105263156
1974-07-01,-8.4,-75.1727110547048,-133.8709677419355
1974-08-01,-16.9,1038.6637872599974,-191.35135135135135
1974-09-01,-7.4,-47.65805359181022,2366.666666666667
1974-10-01,-26.1,9220.621778685963,-366.3265306122449
1974-11-01,-31.8,1153.6077301911505,-306.4935064935065
1974-12-01,-57.9,374689.46606308094,-823.7500000000001
1975-01-01,-44.7,760.3359350722375,246.51162790697674
1975-02-01,-25.5,-58.65221572043582,93.18181818181819
1975-03-01,-28.4,-94.21159239716758,127.19999999999997
1975-04-01,-28.1,-84.38308713694653,136.1344537815126
1975-05-01,-18.3,-73.47571796314699,98.91304347826089
1975-06-01,-6.4,-99.74210285419528,-26.436781609195393
1975-07-01,13.7,-94.34988888144632,-263.0952380952381
1975-08-01,28.0,448.0595710301992,-265.68047337278114
1975-09-01,32.6,67220.99161148071,-540.5405405405405
1975-10-01,35.3,4307.745928333602,-235.24904214559385
1975-11-01,44.2,520.9504584027491,-238.99371069182394
1975-12-01,33.1,6.277559960146317,-157.16753022452505
1976-01-01,10.8,-99.12381422030032,-124.16107382550337
1976-02-01,20.7,-95.18947690031034,-181.1764705882353
1976-03-01,36.2,43.06134607256296,-227.4647887323944
1976-04-01,43.2,25500.0,-253.73665480427044
1976-05-01,37.7,1000.2313586523804,-306.0109289617487
1976-06-01,32.7,-33.41801654379135,-610.9375
1976-07-01,28.0,-82.35193323435716,104.37956204379563
1976-08-01,19.6,-92.69434962212716,-29.999999999999993
1976-09-01,22.1,-79.13693629843851,-32.20858895705522
1976-10-01,22.2,-60.48338166389006,-37.110481586402265
1976-11-01,13.8,-75.42508297337584,-68.77828054298642
1976-12-01,13.6,-85.65876544938904,-58.91238670694865
1977-01-01,31.5,305.3501306718045,191.66666666666666
1977-02-01,34.9,3990.584441943463,68.59903381642512
